"ImageID","idiom","rating","final_nouns","count_all_nouns","nouns_present_GPT","count_nouns_present_GPT","nouns_present_dreamlike","count_nouns_present_dreamlike","idiom_nouns","idiom_in_gpt","idiom_in_dreamlike","model","model_ratio","figure of speech","category","meaning","physical_attribution_meaning","prompt","model_text","text"
"GPT_P19_19-21.jpg","upper hand","2.3000000000000003","upper, hand ","2.0","upper, hand ","2.0","upper, hand","2.0","upper, hand ","total","total","DallE3","1.0","metonymy","body","to get an advantage over somebody so that you are in control of a particular situation","yes","P3","GPT","0.0"
"dreamlike_P19_19_48.jpg","nest egg","0.2","money, nest, egg","3.0","money, nest, egg","3.0","nest, egg","2.0","nest, egg","total","total","dreamlike","0.6666666666666666","metaphor","animal","an amount of money that has been saved, especially for future use","yes","P3","no_model","0.0"
"dreamlike_P21_21_52.jpg","earworm","0.2","song, morning, day, ear, worm","5.0","song, day, morning","3.0","ear","1.0","ear, worm","none","partial","dreamlike","0.2","metaphor","animal","a situation when a song that comes to your mind again and again","yes","P5","no_model","2.0"
"GPT_P23_23-28.jpg","in the bag","1.0","bag","1.0","bag","1.0","bag","1.0","bag","total","total","DallE3","1.0","metaphor","object","if something is in the bag, it is almost certain to be won or achieved","no","P7","Llama3 + GPT","4.0"
"dreamlike_P21_21_11.jpg","hand in hand","1.1","hand, movie, popcorn, thing, sleep","5.0","movie, popcorn","2.0","hand, popcorn","2.0","hand, hand","none","total","dreamlike","0.4","metaphor","body","in a figurative sense, it is used to indicate that two things accompany, complement, or are concurrent with one another.","no","P5","no_model","2.0"
"GPT_P20_20-22.jpg","in the cards","5.0","promotion, card","2.0","promotion, card","2.0","card","1.0","card","total","total","DallE3","1.0","metonymy","object","Something very likely to happen, occur or take place","no","P4","GPT","1.0"
"dreamlike_P21_21_10.jpg","down the road","1.5","road, end, point, year","4.0","road, end, point","3.0","road, end","2.0","road","total","total","dreamlike","0.5","metaphor","nature","at a future point or end","no","P5","no_model","0.0"
"GPT_P01_01-16-02.jpg","on the ball","2.1","ball","1.0",,"0.0","ball","1.0","ball",,"total","DallE3","0.0","metaphor","object","to be aware of and understand what is happening and be able to react quickly","yes","P1","GPT","0.0"
"dreamlike_P12_12_54.jpg","cold turkey","0.4","cold, turkey","2.0","cold, turkey","2.0","cold","1.0","cold, turkey","total","partial","dreamlike","0.5","metaphor","food","an unpleasant physical condition suffered by people who stop taking a drug that they are addicted to","yes","P2","no_model","0.0"
"GPT_P23_23-29.jpg","at the helm","5.7","person, helm, ship, course","4.0","person, helm, ship","3.0","person, ship, course","3.0","helm","total","none","DallE3","0.75","metaphor","object","in charge of an organization, group of people, etc.","yes","P7","Llama3 + GPT","0.0"
