number,idiom,Meaning,image_ids,count_literal,rating_idiom
15,at bay,to keep something dangerous at a safe distance,dreamlike_P23_23_15.jpg,5,43.41606052813849
46,Easter egg,"a feature that is hidden in video games, websites, software or social media and only unveiled after playing or viewing for a long time",dreamlike_P12_12_46.jpg,4,66.03668936701911
28,in the bag,"if something is in the bag, it is almost certain to be won or achieved",GPT_P23_23-28.jpg,4,65.79735944378652
14,old school,old fashioned ideas or approach compared to current trends,dreamlike_P23_23_14.jpg,2,82.17031055818629
10,down the road,at a future point or end,dreamlike_P21_21_10.jpg,8,83.2305922353758
26,in a nutshell,used when you are stating the main facts about something in a short clear way,GPT_P22_22-26.jpg,1,85.46007090658198
11,hand in hand,"in a figurative sense, it is used to indicate that two things accompany, complement, or are concurrent with one another.",dreamlike_P21_21_11.jpg,0,53.63503680336715
45,red herring,"an unimportant fact, idea, event, etc. that takes people’s attention away from the important ones",dreamlike_P01_01_45-02.jpg,3,1.9389776477298781
23,across the board,"affecting everyone or everything within an organization, system, or society",GPT_P20_20-23.jpg,5,9.491846700310202
1,on the other hand,from a different point of view,dreamlike_P01_01_1-02.jpg,7,25.915186440500847
5,at sea,it means to be confused or not understand something at all,dreamlike_P19_19_5.jpg,6,65.43522835220857
17,scapegoat,to be made to suffer or bear the punishment for someone else,GPT_P01_01-17-02.jpg,7,72.7835807941432
6,in the can,(especially of filmed or recorded material) to be completed and ready for use,dreamlike_P19_19_6.jpg,4,41.934970577672715
13,black hole,a place in which things are lost never to be seen again,dreamlike_P22_22_13.jpg,2,42.4314157120685
21,upper hand,to get an advantage over somebody so that you are in control of a particular situation,GPT_P19_19-21.jpg,8,2.9376492677735455
2,on / to hand,"present, nearby, close, or easily accessible",dreamlike_P01_01_2-02.jpg,8,0.493722857820178
3,on board,"as part of a group or team, especially for a special purpose",dreamlike_P12_12_3.jpg,3,24.365231919086238
18,under fire,subject to extreme criticism or judgment,GPT_P12_12-18.jpg,8,5.512048349389231
52,earworm,a situation when a song that comes to your mind again and again,dreamlike_P21_21_52.jpg,5,56.774218180213
4,in hand,"if you have a particular situation in hand, you are in control of it",dreamlike_P12_12_4.jpg,4,29.282199857672886
19,red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,GPT_P12_12-19.jpg,6,38.32088533796354
48,nest egg,"an amount of money that has been saved, especially for future use",dreamlike_P19_19_48.jpg,9,68.89846143085425
50,lame duck,"a person or thing that is disabled, helpless, ineffective, or inefficient",dreamlike_P20_20_50.jpg,3,33.19500784931797
29,at the helm,"in charge of an organization, group of people, etc.",GPT_P23_23-29.jpg,8,12.761611776683257
12,cup of tea,if it is “your cup of tea” it is something that you prefer,dreamlike_P22_22_12.jpg,0,78.21504368741745
7,at stake,"if something that is valuable is at stake, it is in a situation where it might be lost",dreamlike_P20_20_7.jpg,5,81.1257040822585
25,bread and butter,a job or activity that provides you with the money you need to live,GPT_P21_21-25.jpg,9,35.080918931568725
54,cold turkey,an unpleasant physical condition suffered by people who stop taking a drug that they are addicted to,dreamlike_P12_12_54.jpg,4,16.20208348361971
8,white paper,"in various countries, a government report on a particular subject giving information and details of future planned laws",dreamlike_P20_20_8.jpg,5,52.09117340967676
